,key
19,"(1000, 3600, 3600150069, 500010, '500010 - Salary Base Pay - Civilian', 500, '500 - Personnel Services', 'Expenditures')"
20,"(2301, 2000, 2000060011, 421340, '421340 - Sign Construction Fees', 421, '421 - Licenses & Permits', 'Revenues')"
21,"(1000, 1000, 1000010064, 500190, '500190 - Temporary Higher Class Pay', 500, '500 - Personnel Services', 'Expenditures')"
22,"(1000, 1000, 1000010032, 500020, '500020 - Salary Base Pay - Classified', 500, '500 - Personnel Services', 'Expenditures')"
23,"(1000, 1000, 1000010046, 502010, '502010 - FICA - Civilian', 500, '500 - Personnel Services', 'Expenditures')"
24,"(8001, 2800, 2800040005, 511050, '511050 - Paper & Printing Supplies', 510, '510 - Supplies', 'Expenditures')"
25,"(1000, 3600, 3600150064, 511015, '511015 - Cleaning & Sanitary Supplies', 510, '510 - Supplies', 'Expenditures')"
26,"(1000, 3400, 3400020001, 503090, '503090 - Workers Compensation - Civilian Admin', 500, '500 - Personnel Services', 'Expenditures')"
27,"(8300, 2000, 2000050005, 503090, '503090 - Workers Compensation - Civilian Admin', 500, '500 - Personnel Services', 'Expenditures')"
28,"(1000, 3600, 3600150068, 503010, '503010 - Health Insurance - Active Civilian', 500, '500 - Personnel Services', 'Expenditures')"
29,"(1000, 3600, 3600150012, 521405, '521405 - Building Maintenance Services', 520, '520 - Other Services and Charges', 'Expenditures')"
30,"(2301, 2000, 2000060003, 503090, '503090 - Workers Compensation - Civilian Admin', 500, '500 - Personnel Services', 'Expenditures')"
31,"(1000, 6000, 6000020001, 520510, '520510 - Mail/Delivery Services', 520, '520 - Other Services and Charges', 'Expenditures')"
32,"(1000, 7000, 7000020001, 503060, '503060 - Long Term Disability - Civilian', 500, '500 - Personnel Services', 'Expenditures')"
33,"(1000, 1200, 1200050001, 500070, '500070 - Overtime - Classified', 500, '500 - Personnel Services', 'Expenditures')"
34,"(1000, 9000, 9000010001, 503015, '503015 - Basic Life Insurance - Activie Civilian', 500, '500 - Personnel Services', 'Expenditures')"
35,"(1000, 2000, 2000060009, 501070, '501070 - Pension - Civilian', 500, '500 - Personnel Services', 'Expenditures')"
36,"(1000, 1000, 1000010021, 503025, '503025 - Basic Life Insurance - Active Classified', 500, '500 - Personnel Services', 'Expenditures')"
37,"(1000, 6500, 6500070007, 511110, '511110 - Fuel', 510, '510 - Supplies', 'Expenditures')"
38,"(1000, 1000, 1000010043, 500120, '500120 - Bilingual Pay - Classified', 500, '500 - Personnel Services', 'Expenditures')"
39,"(1000, 1000, 1000010001, 502020, '502020 - FICA - Classified', 500, '500 - Personnel Services', 'Expenditures')"
40,"(2205, 1500, 1500030001, 490010, '490010 - Transfer from General Fund', 490, '490 - Transfers', 'Revenues')"
41,"(8001, 2800, 2800040015, 522430, '522430 - Miscellaneous Other Services & Charges', 520, '520 - Other Services and Charges', 'Expenditures')"
42,"(1000, 1000, 1000010026, 511145, '511145 - Small Tools & Minor Equipment', 510, '510 - Supplies', 'Expenditures')"
43,"(1000, 1000, 1000010061, 520805, '520805 - Education & Training', 520, '520 - Other Services and Charges', 'Expenditures')"
44,"(1000, 1000, 1000010003, 520910, '520910 - Travel - Non-Training Related', 520, '520 - Other Services and Charges', 'Expenditures')"
45,"(1001, 2000, 2000070001, 511040, '511040 - Audiovisual Supplies', 510, '510 - Supplies', 'Expenditures')"
46,"(1000, 1000, 1000010070, 522430, '522430 - Miscellaneous Other Services & Charges', 520, '520 - Other Services and Charges', 'Expenditures')"
47,"(1011, 8000, 8000100006, 451015, ""451015 - Interfund Billing - Worker's Compensatio"", 451, '451 - Other Revenues', 'Revenues')"
48,"(2100, 3600, 3600110005, 511070, '511070 - Miscellaneous Office Supplies', 510, '510 - Supplies', 'Expenditures')"
49,"(8001, 2800, 2800040015, 511040, '511040 - Audiovisual Supplies', 510, '510 - Supplies', 'Expenditures')"
50,"(1000, 2500, 2500040001, 521610, '521610 - Voice Services', 520, '520 - Other Services and Charges', 'Expenditures')"
51,"(8300, 2000, 2000040012, 511060, '511060 - Postage', 510, '510 - Supplies', 'Expenditures')"
52,"(1000, 6500, 6500070001, 520765, '520765 - Membership & Professional Fees', 520, '520 - Other Services and Charges', 'Expenditures')"
53,"(1000, 2000, 2000010003, 520118, '520118 - Refuse Disposal', 520, '520 - Other Services and Charges', 'Expenditures')"
54,"(1000, 1200, 1200040002, 503060, '503060 - Long Term Disability - Civilian', 500, '500 - Personnel Services', 'Expenditures')"
55,"(1000, 1200, 1200020003, 511020, '511020 - Construction Materials', 510, '510 - Supplies', 'Expenditures')"
56,"(1000, 1600, 1600040001, 520119, '520119 - Computer Equipment/Softward Maintenance ', 520, '520 - Other Services and Charges', 'Expenditures')"
57,"(1000, 1000, 1000010026, 500120, '500120 - Bilingual Pay - Classified', 500, '500 - Personnel Services', 'Expenditures')"
58,"(8300, 2000, 2000090003, 511110, '511110 - Fuel', 510, '510 - Supplies', 'Expenditures')"
59,"(1000, 3600, 3600130013, 500030, '500030 - Salary Part Time - Civilian', 500, '500 - Personnel Services', 'Expenditures')"
60,"(1000, 3600, 3600150069, 511015, '511015 - Cleaning & Sanitary Supplies', 510, '510 - Supplies', 'Expenditures')"
61,"(8001, 2800, 2800040011, 503010, '503010 - Health Insurance - Active Civilian', 500, '500 - Personnel Services', 'Expenditures')"
62,"(1000, 1200, 1200040002, 500060, '500060 - Overtime - Civilian', 500, '500 - Personnel Services', 'Expenditures')"
63,"(1001, 2000, 2000060010, 521605, '521605 - Data Services', 520, '520 - Other Services and Charges', 'Expenditures')"
64,"(1000, 6000, 6000050001, 511150, '511150 - Miscellaneous Parts & Supplies', 510, '510 - Supplies', 'Expenditures')"
65,"(1004, 9000, 9000010001, 521610, '521610 - Voice Services', 520, '520 - Other Services and Charges', 'Expenditures')"
66,"(1004, 9000, 9000100001, 500010, '500010 - Salary Base Pay - Civilian', 500, '500 - Personnel Services', 'Expenditures')"
67,"(8300, 2000, 2000090006, 520110, '520110 - Management Consulting Services', 520, '520 - Other Services and Charges', 'Expenditures')"
68,"(8300, 2000, 2000040021, 511035, '511035 - Meters, Hydrants & Plumbing Supplies', 510, '510 - Supplies', 'Expenditures')"
69,"(8001, 2800, 2800060001, 500060, '500060 - Overtime - Civilian', 500, '500 - Personnel Services', 'Expenditures')"
70,"(1000, 9000, 9000040001, 503090, '503090 - Workers Compensation - Civilian Admin', 500, '500 - Personnel Services', 'Expenditures')"
71,"(1000, 2100, 2100010001, 521410, '521410 - Sewer Services', 520, '520 - Other Services and Charges', 'Expenditures')"
72,"(1000, 3800, 3800050014, 426430, '426430 - Facility Rental Fees', 424, '424 - Charges for Services', 'Revenues')"
73,"(1000, 1000, 1000010032, 500120, '500120 - Bilingual Pay - Classified', 500, '500 - Personnel Services', 'Expenditures')"
74,"(1000, 1000, 1000010003, 501070, '501070 - Pension - Civilian', 500, '500 - Personnel Services', 'Expenditures')"
75,"(1000, 9000, 9000010001, 452020, '452020 - Recoveries & Refunds', 452, '452 - Non-Operating/Misc.Revenues', 'Revenues')"
76,"(1001, 2000, 2000070003, 511045, '511045 - Computer Supplies', 510, '510 - Supplies', 'Expenditures')"
77,"(8001, 2800, 2800050004, 500110, '500110 - Bilingual Pay - Civilian', 500, '500 - Personnel Services', 'Expenditures')"
78,"(1000, 3400, 3400010004, 511070, '511070 - Miscellaneous Office Supplies', 510, '510 - Supplies', 'Expenditures')"
79,"(1000, 2100, 2100060005, 511050, '511050 - Paper & Printing Supplies', 510, '510 - Supplies', 'Expenditures')"
80,"(1000, 3600, 3600130016, 511010, '511010 - Chemical, Gases & Special Fluids', 510, '510 - Supplies', 'Expenditures')"
81,"(8300, 2000, 2000040023, 511150, '511150 - Miscellaneous Parts & Supplies', 510, '510 - Supplies', 'Expenditures')"
82,"(1000, 1000, 1000010022, 500090, '500090 - Premium Pay - Civilian', 500, '500 - Personnel Services', 'Expenditures')"
83,"(1000, 2100, 2100070003, 502010, '502010 - FICA - Civilian', 500, '500 - Personnel Services', 'Expenditures')"
84,"(1000, 1000, 1000010013, 500250, '500250 - HOPE Union Business Usage', 500, '500 - Personnel Services', 'Expenditures')"
85,"(1000, 2100, 2100070003, 503010, '503010 - Health Insurance - Active Civilian', 500, '500 - Personnel Services', 'Expenditures')"
86,"(9000, 8000, 8000120001, 522430, '522430 - Miscellaneous Other Services & Charges', 520, '520 - Other Services and Charges', 'Expenditures')"
87,"(8300, 2000, 2000040017, 503090, '503090 - Workers Compensation - Civilian Admin', 500, '500 - Personnel Services', 'Expenditures')"
88,"(1000, 1000, 1000010029, 500040, '500040 - Salary Assignment Pay - Classified', 500, '500 - Personnel Services', 'Expenditures')"
89,"(1000, 3600, 3600130013, 520765, '520765 - Membership & Professional Fees', 520, '520 - Other Services and Charges', 'Expenditures')"
90,"(8300, 2000, 2000040003, 511045, '511045 - Computer Supplies', 510, '510 - Supplies', 'Expenditures')"
91,"(8300, 2000, 2000040018, 511010, '511010 - Chemical, Gases & Special Fluids', 510, '510 - Supplies', 'Expenditures')"
92,"(1000, 3800, 3800050001, 520805, '520805 - Education & Training', 520, '520 - Other Services and Charges', 'Expenditures')"
93,"(1000, 1000, 1000010037, 503060, '503060 - Long Term Disability - Civilian', 500, '500 - Personnel Services', 'Expenditures')"
94,"(2205, 1500, 1500040001, 520510, '520510 - Mail/Delivery Services', 520, '520 - Other Services and Charges', 'Expenditures')"
95,"(1000, 1000, 1000010096, 500060, '500060 - Overtime - Civilian', 500, '500 - Personnel Services', 'Expenditures')"
96,"(8300, 2000, 2000040013, 520765, '520765 - Membership & Professional Fees', 520, '520 - Other Services and Charges', 'Expenditures')"
97,"(8001, 2800, 2800060003, 503015, '503015 - Basic Life Insurance - Activie Civilian', 500, '500 - Personnel Services', 'Expenditures')"
98,"(2205, 1500, 1500030001, 520100, '520100 - Temporary Personnel Services', 520, '520 - Other Services and Charges', 'Expenditures')"
99,"(1000, 2100, 2100010002, 452030, '452030 - Miscellaneous Revenue', 452, '452 - Non-Operating/Misc.Revenues', 'Revenues')"
100,"(2302, 2000, 2000010013, 500060, '500060 - Overtime - Civilian', 500, '500 - Personnel Services', 'Expenditures')"
101,"(1000, 3800, 3800050007, 520100, '520100 - Temporary Personnel Services', 520, '520 - Other Services and Charges', 'Expenditures')"
102,"(1000, 3600, 3600130017, 511020, '511020 - Construction Materials', 510, '510 - Supplies', 'Expenditures')"
103,"(1000, 3600, 3600070005, 511070, '511070 - Miscellaneous Office Supplies', 510, '510 - Supplies', 'Expenditures')"
104,"(2209, 1000, 1000010002, 432010, '432010 - Interest on Pooled Investments', 432, '432 - Interest/Investment Income', 'Revenues')"
105,"(1000, 3800, 3800050021, 426130, '426130 - Dental Fees', 424, '424 - Charges for Services', 'Revenues')"
106,"(1000, 3400, 3400040001, 501070, '501070 - Pension - Civilian', 500, '500 - Personnel Services', 'Expenditures')"
107,"(1000, 3600, 3600150055, 521405, '521405 - Building Maintenance Services', 520, '520 - Other Services and Charges', 'Expenditures')"
108,"(1000, 3600, 3600150071, 502010, '502010 - FICA - Civilian', 500, '500 - Personnel Services', 'Expenditures')"
109,"(1001, 2000, 2000070001, 521620, '521620 - Voice Equipment', 520, '520 - Other Services and Charges', 'Expenditures')"
110,"(1000, 1200, 1200030001, 500050, '500050 - Salary-Education/Incentive Pay - Classif', 500, '500 - Personnel Services', 'Expenditures')"
111,"(1000, 1000, 1000010005, 520765, '520765 - Membership & Professional Fees', 520, '520 - Other Services and Charges', 'Expenditures')"
112,"(2201, 1000, 1000010076, 452020, '452020 - Recoveries & Refunds', 452, '452 - Non-Operating/Misc.Revenues', 'Revenues')"
113,"(1000, 1000, 1000010023, 520515, '520515 - Print Shop Services', 520, '520 - Other Services and Charges', 'Expenditures')"
114,"(1000, 1000, 1000010015, 503015, '503015 - Basic Life Insurance - Activie Civilian', 500, '500 - Personnel Services', 'Expenditures')"
115,"(1000, 2100, 2100090002, 501120, '501120 - Termination Pay - Civilian', 500, '500 - Personnel Services', 'Expenditures')"
116,"(8001, 2800, 2800040020, 520520, '520520 - Printing & Reproduction Services', 520, '520 - Other Services and Charges', 'Expenditures')"
117,"(8300, 2000, 2000040013, 521505, '521505 - Electricity', 520, '520 - Other Services and Charges', 'Expenditures')"
118,"(8300, 2000, 2000030009, 504030, '504030 - Unemployment Claims - Administration', 500, '500 - Personnel Services', 'Expenditures')"
119,"(1000, 6000, 6000050001, 500110, '500110 - Bilingual Pay - Civilian', 500, '500 - Personnel Services', 'Expenditures')"
120,"(8300, 2000, 2000050005, 503050, '503050 - Health Insurance - Retiree Civilian', 500, '500 - Personnel Services', 'Expenditures')"
121,"(1000, 1000, 1000010094, 511150, '511150 - Miscellaneous Parts & Supplies', 510, '510 - Supplies', 'Expenditures')"
122,"(8300, 2000, 2000050014, 521610, '521610 - Voice Services', 520, '520 - Other Services and Charges', 'Expenditures')"
123,"(1000, 1000, 1000010027, 502020, '502020 - FICA - Classified', 500, '500 - Personnel Services', 'Expenditures')"
124,"(1000, 1200, 1200030003, 503110, '503110 - Workers Comp-Classified Claims', 500, '500 - Personnel Services', 'Expenditures')"
125,"(2205, 1500, 1500040001, 511115, '511115 - Vehicle Repair & Maintenance Supplies', 510, '510 - Supplies', 'Expenditures')"
126,"(1000, 3600, 3600090005, 511015, '511015 - Cleaning & Sanitary Supplies', 510, '510 - Supplies', 'Expenditures')"
127,"(1000, 1000, 1000010083, 500040, '500040 - Salary Assignment Pay - Classified', 500, '500 - Personnel Services', 'Expenditures')"
128,"(1000, 1000, 1000010071, 521610, '521610 - Voice Services', 520, '520 - Other Services and Charges', 'Expenditures')"
129,"(2100, 3600, 3600110005, 511015, '511015 - Cleaning & Sanitary Supplies', 510, '510 - Supplies', 'Expenditures')"
130,"(1000, 3400, 3400010002, 520805, '520805 - Education & Training', 520, '520 - Other Services and Charges', 'Expenditures')"
131,"(8300, 2000, 2000040019, 520805, '520805 - Education & Training', 520, '520 - Other Services and Charges', 'Expenditures')"
132,"(1000, 1000, 1000010056, 427200, '427200 - Unclaimed Fines & Forfeitures', 427, '427 - Municipal Courts Fines & Forfeits', 'Revenues')"
133,"(8300, 2000, 2000050007, 520119, '520119 - Computer Equipment/Softward Maintenance ', 520, '520 - Other Services and Charges', 'Expenditures')"
134,"(1000, 5500, 5500010002, 520515, '520515 - Print Shop Services', 520, '520 - Other Services and Charges', 'Expenditures')"
135,"(1000, 1000, 1000010044, 503015, '503015 - Basic Life Insurance - Activie Civilian', 500, '500 - Personnel Services', 'Expenditures')"
136,"(1000, 1000, 1000010057, 500070, '500070 - Overtime - Classified', 500, '500 - Personnel Services', 'Expenditures')"
137,"(1000, 1000, 1000010016, 503080, '503080 - Workers Compensation - Classified Admin', 500, '500 - Personnel Services', 'Expenditures')"
138,"(1000, 3600, 3600150013, 500110, '500110 - Bilingual Pay - Civilian', 500, '500 - Personnel Services', 'Expenditures')"
139,"(1000, 5500, 5500010009, 503010, '503010 - Health Insurance - Active Civilian', 500, '500 - Personnel Services', 'Expenditures')"
140,"(8300, 2000, 2000040011, 504030, '504030 - Unemployment Claims - Administration', 500, '500 - Personnel Services', 'Expenditures')"
141,"(1000, 3600, 3600150058, 500030, '500030 - Salary Part Time - Civilian', 500, '500 - Personnel Services', 'Expenditures')"
142,"(8001, 2800, 2800040005, 447020, '447020 - Garage Parking Revenue', 447, '447 - Parking', 'Revenues')"
143,"(1000, 1000, 1000010084, 504030, '504030 - Unemployment Claims - Administration', 500, '500 - Personnel Services', 'Expenditures')"
144,"(1000, 7000, 7000030001, 500060, '500060 - Overtime - Civilian', 500, '500 - Personnel Services', 'Expenditures')"
145,"(1000, 1000, 1000010042, 521610, '521610 - Voice Services', 520, '520 - Other Services and Charges', 'Expenditures')"
146,"(2200, 1000, 1000010072, 520605, '520605 - Advertising Services', 520, '520 - Other Services and Charges', 'Expenditures')"
147,"(8300, 2000, 2000090006, 503060, '503060 - Long Term Disability - Civilian', 500, '500 - Personnel Services', 'Expenditures')"
148,"(8300, 2000, 2000080001, 520123, '520123 - Vehicle & Motor Equipment Services+E38', 520, '520 - Other Services and Charges', 'Expenditures')"
149,"(2302, 2000, 2000010011, 520124, '520124 - Other Equipment ServicesS', 520, '520 - Other Services and Charges', 'Expenditures')"
150,"(1000, 2500, 2500030001, 520910, '520910 - Travel - Non-Training Related', 520, '520 - Other Services and Charges', 'Expenditures')"
151,"(8001, 2800, 2800040013, 511035, '511035 - Meters, Hydrants & Plumbing Supplies', 510, '510 - Supplies', 'Expenditures')"
152,"(8001, 2800, 2800040013, 511015, '511015 - Cleaning & Sanitary Supplies', 510, '510 - Supplies', 'Expenditures')"
153,"(1000, 3800, 3800050022, 500060, '500060 - Overtime - Civilian', 500, '500 - Personnel Services', 'Expenditures')"
154,"(1000, 1000, 1000010028, 500090, '500090 - Premium Pay - Civilian', 500, '500 - Personnel Services', 'Expenditures')"
155,"(1000, 3800, 3800020004, 511070, '511070 - Miscellaneous Office Supplies', 510, '510 - Supplies', 'Expenditures')"
156,"(1000, 6800, 6800030001, 511045, '511045 - Computer Supplies', 510, '510 - Supplies', 'Expenditures')"
157,"(1000, 3600, 3600130004, 511050, '511050 - Paper & Printing Supplies', 510, '510 - Supplies', 'Expenditures')"
158,"(1000, 3600, 3600150069, 501070, '501070 - Pension - Civilian', 500, '500 - Personnel Services', 'Expenditures')"
159,"(1000, 1000, 1000010023, 500120, '500120 - Bilingual Pay - Classified', 500, '500 - Personnel Services', 'Expenditures')"
160,"(8001, 2800, 2800020005, 511055, '511055 - Publications & Printed Materials', 510, '510 - Supplies', 'Expenditures')"
161,"(1000, 1000, 1000010041, 521725, '521725 - Other Rental', 520, '520 - Other Services and Charges', 'Expenditures')"
162,"(1000, 1000, 1000010019, 500170, '500170 - Weekend Premium Pay - Classified', 500, '500 - Personnel Services', 'Expenditures')"
163,"(1000, 3600, 3600150026, 500010, '500010 - Salary Base Pay - Civilian', 500, '500 - Personnel Services', 'Expenditures')"
164,"(8001, 2800, 2800040003, 500010, '500010 - Salary Base Pay - Civilian', 500, '500 - Personnel Services', 'Expenditures')"
165,"(1000, 1000, 1000010033, 503080, '503080 - Workers Compensation - Classified Admin', 500, '500 - Personnel Services', 'Expenditures')"
166,"(1000, 3800, 3800010004, 500010, '500010 - Salary Base Pay - Civilian', 500, '500 - Personnel Services', 'Expenditures')"
167,"(1000, 2000, 2000020002, 520123, '520123 - Vehicle & Motor Equipment Services+E38', 520, '520 - Other Services and Charges', 'Expenditures')"
168,"(1000, 3600, 3600150052, 511015, '511015 - Cleaning & Sanitary Supplies', 510, '510 - Supplies', 'Expenditures')"
169,"(1000, 7000, 7000020001, 520119, '520119 - Computer Equipment/Softward Maintenance ', 520, '520 - Other Services and Charges', 'Expenditures')"
170,"(2302, 2000, 2000010017, 501070, '501070 - Pension - Civilian', 500, '500 - Personnel Services', 'Expenditures')"
171,"(1000, 3600, 3600150070, 503060, '503060 - Long Term Disability - Civilian', 500, '500 - Personnel Services', 'Expenditures')"
172,"(8300, 2000, 2000050002, 520100, '520100 - Temporary Personnel Services', 520, '520 - Other Services and Charges', 'Expenditures')"
173,"(1000, 6000, 6000050001, 503060, '503060 - Long Term Disability - Civilian', 500, '500 - Personnel Services', 'Expenditures')"
174,"(1000, 3800, 3800050010, 503090, '503090 - Workers Compensation - Civilian Admin', 500, '500 - Personnel Services', 'Expenditures')"
175,"(1000, 6400, 6400010001, 503015, '503015 - Basic Life Insurance - Activie Civilian', 500, '500 - Personnel Services', 'Expenditures')"
176,"(2302, 2000, 2000010013, 520765, '520765 - Membership & Professional Fees', 520, '520 - Other Services and Charges', 'Expenditures')"
177,"(1000, 3400, 3400040001, 503015, '503015 - Basic Life Insurance - Activie Civilian', 500, '500 - Personnel Services', 'Expenditures')"
178,"(1000, 5500, 5500010001, 521715, '521715 - Office Equipment Rental', 520, '520 - Other Services and Charges', 'Expenditures')"
179,"(8001, 2800, 2800040011, 511010, '511010 - Chemical, Gases & Special Fluids', 510, '510 - Supplies', 'Expenditures')"
180,"(1000, 1000, 1000010094, 500160, '500160 - Training Incentive Pay - Classified', 500, '500 - Personnel Services', 'Expenditures')"
181,"(2100, 3600, 3600110005, 443190, '443190 - Retail Concessions', 443, '443 - Concession', 'Revenues')"
182,"(1000, 3600, 3600070003, 521405, '521405 - Building Maintenance Services', 520, '520 - Other Services and Charges', 'Expenditures')"
183,"(1000, 3800, 3800010001, 500010, '500010 - Salary Base Pay - Civilian', 500, '500 - Personnel Services', 'Expenditures')"
184,"(8300, 2000, 2000040018, 520109, '520109 - Medical, Dental & Laboratory Services', 520, '520 - Other Services and Charges', 'Expenditures')"
185,"(1000, 3800, 3800040006, 500110, '500110 - Bilingual Pay - Civilian', 500, '500 - Personnel Services', 'Expenditures')"
186,"(1000, 5500, 5500010002, 503010, '503010 - Health Insurance - Active Civilian', 500, '500 - Personnel Services', 'Expenditures')"
187,"(1000, 6000, 6000070001, 502010, '502010 - FICA - Civilian', 500, '500 - Personnel Services', 'Expenditures')"
188,"(1011, 8000, 8000100006, 503060, '503060 - Long Term Disability - Civilian', 500, '500 - Personnel Services', 'Expenditures')"
189,"(1000, 2100, 2100070001, 500060, '500060 - Overtime - Civilian', 500, '500 - Personnel Services', 'Expenditures')"
190,"(1000, 3600, 3600150056, 521405, '521405 - Building Maintenance Services', 520, '520 - Other Services and Charges', 'Expenditures')"
191,"(2201, 1000, 1000010016, 426260, '426260 - Police Services', 424, '424 - Charges for Services', 'Revenues')"
192,"(1000, 1200, 1200060006, 520805, '520805 - Education & Training', 520, '520 - Other Services and Charges', 'Expenditures')"
193,"(9000, 8000, 8000150001, 520119, '520119 - Computer Equipment/Softward Maintenance ', 520, '520 - Other Services and Charges', 'Expenditures')"
194,"(1000, 5500, 5500010013, 500110, '500110 - Bilingual Pay - Civilian', 500, '500 - Personnel Services', 'Expenditures')"
195,"(1000, 3400, 3400050001, 522430, '522430 - Miscellaneous Other Services & Charges', 520, '520 - Other Services and Charges', 'Expenditures')"
196,"(2301, 2000, 2000060011, 503010, '503010 - Health Insurance - Active Civilian', 500, '500 - Personnel Services', 'Expenditures')"
197,"(1000, 1000, 1000010028, 502010, '502010 - FICA - Civilian', 500, '500 - Personnel Services', 'Expenditures')"
198,"(8300, 2000, 2000060005, 551015, '551015 - Non-Capital Computer Equipment', 550, '550 - Non-Capital Purchases', 'Expenditures')"
199,"(8300, 2000, 2000040015, 503090, '503090 - Workers Compensation - Civilian Admin', 500, '500 - Personnel Services', 'Expenditures')"
200,"(8001, 2800, 2800040005, 503010, '503010 - Health Insurance - Active Civilian', 500, '500 - Personnel Services', 'Expenditures')"
201,"(8001, 2800, 2800020006, 503060, '503060 - Long Term Disability - Civilian', 500, '500 - Personnel Services', 'Expenditures')"
202,"(1000, 1200, 1200060006, 511070, '511070 - Miscellaneous Office Supplies', 510, '510 - Supplies', 'Expenditures')"
203,"(1004, 6500, 6500050003, 511055, '511055 - Publications & Printed Materials', 510, '510 - Supplies', 'Expenditures')"
204,"(1000, 3600, 3600070003, 511120, '511120 - Clothing', 510, '510 - Supplies', 'Expenditures')"
205,"(8300, 2000, 2000050013, 502010, '502010 - FICA - Civilian', 500, '500 - Personnel Services', 'Expenditures')"
206,"(1003, 2500, 2500050001, 503015, '503015 - Basic Life Insurance - Activie Civilian', 500, '500 - Personnel Services', 'Expenditures')"
207,"(1000, 3600, 3600090007, 511135, '511135 - Recreational Supplies', 510, '510 - Supplies', 'Expenditures')"
208,"(2301, 2000, 2000060013, 511040, '511040 - Audiovisual Supplies', 510, '510 - Supplies', 'Expenditures')"
209,"(1000, 1000, 1000010003, 520805, '520805 - Education & Training', 520, '520 - Other Services and Charges', 'Expenditures')"
210,"(1000, 3600, 3600090001, 503010, '503010 - Health Insurance - Active Civilian', 500, '500 - Personnel Services', 'Expenditures')"
211,"(8300, 2000, 2000040017, 521515, '521515 - Electricity  Franchise Fee Expense', 520, '520 - Other Services and Charges', 'Expenditures')"
212,"(2200, 1000, 1000010072, 432010, '432010 - Interest on Pooled Investments', 432, '432 - Interest/Investment Income', 'Revenues')"
213,"(1000, 3600, 3600150005, 511135, '511135 - Recreational Supplies', 510, '510 - Supplies', 'Expenditures')"
214,"(8300, 2000, 2000040014, 500060, '500060 - Overtime - Civilian', 500, '500 - Personnel Services', 'Expenditures')"
215,"(8300, 2000, 2000040021, 500110, '500110 - Bilingual Pay - Civilian', 500, '500 - Personnel Services', 'Expenditures')"
216,"(1000, 1000, 1000010068, 503020, '503020 - Health Insurance - Active Classified', 500, '500 - Personnel Services', 'Expenditures')"
217,"(1000, 3800, 3800050001, 502010, '502010 - FICA - Civilian', 500, '500 - Personnel Services', 'Expenditures')"
218,"(1000, 1000, 1000010013, 501090, '501090 - Pension - Police', 500, '500 - Personnel Services', 'Expenditures')"
219,"(1000, 3600, 3600130016, 511090, '511090 - Medical & Surgical Supplies', 510, '510 - Supplies', 'Expenditures')"
220,"(8300, 2000, 2000040014, 520510, '520510 - Mail/Delivery Services', 520, '520 - Other Services and Charges', 'Expenditures')"
221,"(1001, 2000, 2000070001, 511045, '511045 - Computer Supplies', 510, '510 - Supplies', 'Expenditures')"
222,"(1000, 3800, 3800060004, 503090, '503090 - Workers Compensation - Civilian Admin', 500, '500 - Personnel Services', 'Expenditures')"
223,"(1000, 3400, 3400010005, 511110, '511110 - Fuel', 510, '510 - Supplies', 'Expenditures')"
