,Fund Id,Business Area,Fund Center Id,GL Account,GL Description,GL Category,GL Category Description,Revenue or Expenditure,Fiscal Year,Original Budget,Current Budget,Actuals,3Y_Past_Actuals,2Y_Past_Actuals,1Y_Past_Actuals,2Y_1Y_Actuals_Mean,3Y_2Y_1Y_Actuals_Mean,3Y_Past_Original_Budget,2Y_Past_Original_Budget,1Y_Past_Original_Budget,2Y_1Y_Original_Budget_Mean,3Y_2Y_1Y_Original_Budget_Mean,3Y_Past_OA_Difference,2Y_Past_OA_Difference,1Y_Past_OA_Difference,2Y_1Y_OA_Difference_Mean,3Y_2Y_1Y_OA_Difference_Mean
39,2302,2000,2000090003,500060,500060 - Overtime - Civilian,500,500 - Personnel Services,Expenditures,2016,3500,3500,3215.74,14.75,10237.15,56674.32,33455.735,33455.735,2409.0,0.0,0.0,0.0,0.0,-2394.25,10237.15,56674.32,33455.735,33455.735
40,1000,1000,1000010069,500190,500190 - Temporary Higher Class Pay,500,500 - Personnel Services,Expenditures,2016,4816,4816,8633.83,64231.14,62075.76,56050.16,59062.96000000001,59062.96000000001,66303.0,64662.0,64041.0,64351.5,64351.5,-2071.8600000000006,-2586.239999999998,-7990.839999999997,-5288.539999999997,-5288.539999999997
41,8001,2800,2800060015,503050,503050 - Health Insurance - Retiree Civilian,500,500 - Personnel Services,Expenditures,2016,0,5864,8918.84,16543.94,69122.03,40676.22,54899.125,54899.125,1528.0,0.0,59928.0,29964.0,29964.0,15015.94,69122.03,-19251.78,24935.125,24935.125
42,8300,2000,2000050010,503050,503050 - Health Insurance - Retiree Civilian,500,500 - Personnel Services,Expenditures,2016,38800,38800,33105.94,101893.95,111136.76,122229.61,116683.185,116683.185,83168.0,179010.0,109638.0,144324.0,144324.0,18725.95,-67873.24,12591.61,-27640.815000000002,-27640.815000000002
43,1000,5100,5100020001,511110,511110 - Fuel,510,510 - Supplies,Expenditures,2016,359,52.44,111.8,68111.74,58711.26,60491.46,59601.36,59601.36,33737.0,58338.0,62383.0,60360.5,60360.5,34374.740000000005,373.26000000000204,-1891.5400000000006,-759.1399999999993,-759.1399999999993
44,1000,1000,1000010046,503070,503070 - Municipal Pension - Other Classified,500,500 - Personnel Services,Expenditures,2016,15000,15000,18708.67,4120626.71,0.0,113.47,56.735,56.735,4357950.0,0.0,0.0,0.0,0.0,-237323.29000000004,0.0,113.47,56.735,56.735
45,1000,1000,1000010037,502020,502020 - FICA - Classified,500,500 - Personnel Services,Expenditures,2016,254702,254702,277017.6,5496328.23,5858012.1,6210213.18,6034112.64,6034112.64,5627508.0,5822777.0,5934706.0,5878741.5,5878741.5,-131179.76999999955,35235.09999999963,275507.1799999997,155371.13999999966,155371.13999999966
46,2302,2000,2000010012,511020,511020 - Construction Materials,510,510 - Supplies,Expenditures,2016,100,100,133.68,387586.29,0.0,3.47,1.735,1.735,1153068.0,0.0,0.0,0.0,0.0,-765481.71,0.0,3.47,1.735,1.735
47,1000,3600,3600130010,511145,511145 - Small Tools & Minor Equipment,510,510 - Supplies,Expenditures,2016,3000,3000,-2011.29,8969598.05,8950772.14,9211015.07,9080893.605,9080893.605,9814398.0,9285460.0,9459243.0,9372351.5,9372351.5,-844799.9499999994,-334687.8599999994,-248227.9299999997,-291457.89499999955,-291457.89499999955
48,1000,3600,3600150057,500010,500010 - Salary Base Pay - Civilian,500,500 - Personnel Services,Expenditures,2016,95113,95113,103690.87,446691.33,482297.1,515092.27,498694.685,498694.685,442474.0,522740.0,523163.0,522951.5,522951.5,4217.330000000016,-40442.900000000016,-8070.7299999999805,-24256.815,-24256.815
49,8300,2000,2000040012,511115,511115 - Vehicle Repair & Maintenance Supplies,510,510 - Supplies,Expenditures,2016,1500,1500,203.56,2781954.32,2996729.58,3111779.81,3054254.6950000003,3054254.6950000003,2596949.0,2779120.0,2905563.0,2842341.5,2842341.5,185005.31999999983,217609.58000000007,206216.81000000008,211913.19500000007,211913.19500000007
50,1000,2100,2100070001,503060,503060 - Long Term Disability - Civilian,500,500 - Personnel Services,Expenditures,2016,2074,2074,1909.73,1460871.41,1704548.13,1830680.86,1767614.495,1767614.495,1461320.0,1589441.0,1952921.0,1771181.0,1771181.0,-448.5900000000838,115107.12999999989,-122240.1399999999,-3566.5050000000047,-3566.5050000000047
51,1000,1000,1000010016,511045,511045 - Computer Supplies,510,510 - Supplies,Expenditures,2016,826,826,541.09,4096502.06,4486822.0,4523973.6,4505397.8,4505397.8,4056856.0,4057129.0,4681918.0,4369523.5,4369523.5,39646.060000000056,429693.0,-157944.40000000034,135874.2999999998,135874.2999999998
52,8001,2800,2800040019,551010,551010 - Non-Capital Office Furniture & Equipment,550,550 - Non-Capital Purchases,Expenditures,2016,2100,0,0,349004.52,162460.53,157434.36,159947.445,159947.445,113295.0,527965.0,461498.0,494731.5,494731.5,235709.52,-365504.47,-304063.64,-334784.055,-334784.055
53,1000,2500,2500020001,511015,511015 - Cleaning & Sanitary Supplies,510,510 - Supplies,Expenditures,2016,161712,161712,146823.72,266637.35,231519.21,252696.86,242108.03499999997,242108.03499999997,285203.0,250176.0,246692.0,248434.0,248434.0,-18565.650000000023,-18656.790000000008,6004.859999999987,-6325.965000000011,-6325.965000000011
54,1000,1200,1200030004,511040,511040 - Audiovisual Supplies,510,510 - Supplies,Expenditures,2016,500,500,0,30086.72,30959.43,31908.75,31434.09,31434.09,35089.0,35711.0,31920.0,33815.5,33815.5,-5002.279999999999,-4751.57,-11.25,-2381.41,-2381.41
55,2302,2000,2000010012,520515,520515 - Print Shop Services,520,520 - Other Services and Charges,Expenditures,2016,3400,3400,280,1402455.58,1535211.75,1402543.85,1468877.8,1468877.8,1534849.0,1641513.0,1580969.0,1611241.0,1611241.0,-132393.41999999993,-106301.25,-178425.14999999988,-142363.19999999995,-142363.19999999995
56,1000,6000,6000020001,503060,503060 - Long Term Disability - Civilian,500,500 - Personnel Services,Expenditures,2016,1046,1046,1101.36,62397.62,117479.65,121132.46,119306.055,119306.055,34600.0,84910.0,121277.0,103093.5,103093.5,27797.62000000001,32569.649999999994,-144.5399999999936,16212.555,16212.555
57,1000,5000,5000010001,511150,511150 - Miscellaneous Parts & Supplies,510,510 - Supplies,Expenditures,2016,2000,2500,418.35,442023.66,541832.82,559530.9,550681.86,550681.86,444531.0,451205.0,580467.0,515836.0,515836.0,-2507.3400000000256,90627.81999999996,-20936.099999999977,34845.85999999999,34845.85999999999
58,8300,2000,2000040012,511145,511145 - Small Tools & Minor Equipment,510,510 - Supplies,Expenditures,2016,5000,5000,1878.93,749034.57,700895.04,709310.54,705102.79,705102.79,732101.0,754760.0,784517.0,769638.5,769638.5,16933.569999999952,-53864.95999999996,-75206.45999999996,-64535.70999999996,-64535.70999999996
59,1000,3600,3600130002,503010,503010 - Health Insurance - Active Civilian,500,500 - Personnel Services,Expenditures,2016,126691,121501.46,147695.35,35781.61,36849.59,20806.91,28828.25,28828.25,36153.0,36882.0,38014.0,37448.0,37448.0,-371.3899999999994,-32.41000000000349,-17207.09,-8619.750000000002,-8619.750000000002
60,1000,3400,3400010002,503015,503015 - Basic Life Insurance - Activie Civilian,500,500 - Personnel Services,Expenditures,2016,317,317,312.19,777273.11,973525.57,968731.02,971128.2949999999,971128.2949999999,764831.0,772639.0,1015948.0,894293.5,894293.5,12442.109999999986,200886.56999999995,-47216.97999999998,76834.79499999998,76834.79499999998
61,8300,2000,2000080001,511095,511095 - Small Technical & Scientific Equipment,510,510 - Supplies,Expenditures,2016,25000,25000,3463.62,716566.07,929145.85,928863.24,929004.5449999999,929004.5449999999,661421.0,760550.0,949290.0,854920.0,854920.0,55145.06999999995,168595.84999999998,-20426.76000000001,74084.54499999998,74084.54499999998
62,1000,3600,3600090002,503060,503060 - Long Term Disability - Civilian,500,500 - Personnel Services,Expenditures,2016,247,247,218.86,396892.23,384414.91,242197.29,313306.1,313306.1,407291.0,250410.0,247637.0,249023.5,249023.5,-10398.770000000019,134004.90999999995,-5439.709999999992,64282.59999999998,64282.59999999998
63,1000,3600,3600130001,503060,503060 - Long Term Disability - Civilian,500,500 - Personnel Services,Expenditures,2016,323,323,254.16,694603.56,764547.6,0.0,382273.8,382273.8,1071538.0,811591.0,0.0,405795.5,405795.5,-376934.44,-47043.400000000016,0.0,-23521.700000000008,-23521.700000000008
64,1000,1200,1200050005,511055,511055 - Publications & Printed Materials,510,510 - Supplies,Expenditures,2016,2032,-1,0,212522.95,223543.71,389602.14,306572.925,306572.925,208383.0,312998.0,424804.0,368901.0,368901.0,4139.950000000013,-89454.29000000002,-35201.859999999986,-62328.075000000004,-62328.075000000004
65,1000,2100,2100090002,501120,501120 - Termination Pay - Civilian,500,500 - Personnel Services,Expenditures,2016,4150,4150,7256.94,760922.14,783172.86,761000.0,772086.4299999999,772086.4299999999,764339.0,829579.0,793505.0,811542.0,811542.0,-3416.859999999986,-46406.14000000002,-32505.0,-39455.57000000001,-39455.57000000001
66,1000,2000,2000060009,522430,522430 - Miscellaneous Other Services & Charges,520,520 - Other Services and Charges,Expenditures,2016,200,200,0,332053.79,385072.61,431356.42,408214.515,408214.515,0.0,446905.0,445512.0,446208.5,446208.5,332053.79,-61832.39000000003,-14155.580000000016,-37993.98500000002,-37993.98500000002
67,1000,1200,1200040001,503025,503025 - Basic Life Insurance - Active Classified,500,500 - Personnel Services,Expenditures,2016,5022,5022,5351.4,448387.46,456220.92,474502.36,465361.64,465361.64,487548.0,424294.0,471726.0,448010.0,448010.0,-39160.53999999998,31926.919999999984,2776.359999999986,17351.639999999985,17351.639999999985
68,1000,6800,6800030001,500010,500010 - Salary Base Pay - Civilian,500,500 - Personnel Services,Expenditures,2016,507015,589674,533357.37,1089835.87,1076723.44,1268863.66,1172793.5499999998,1172793.5499999998,1137439.0,1171325.0,1246243.0,1208784.0,1208784.0,-47603.12999999988,-94601.56000000006,22620.659999999923,-35990.45000000007,-35990.45000000007
69,2301,2000,2000060014,511045,511045 - Computer Supplies,510,510 - Supplies,Expenditures,2016,5000,5000,1250.91,130948.05,125548.18,128386.69,126967.435,126967.435,128177.0,140307.0,139833.0,140070.0,140070.0,2771.050000000003,-14758.820000000007,-11446.309999999998,-13102.565000000002,-13102.565000000002
70,1000,1000,1000010028,500040,500040 - Salary Assignment Pay - Classified,500,500 - Personnel Services,Expenditures,2016,119375,119375,131958.82,220823.56,220484.71,217397.17,218940.94,218940.94,222841.0,229587.0,235930.0,232758.5,232758.5,-2017.4400000000023,-9102.290000000008,-18532.829999999987,-13817.559999999998,-13817.559999999998
71,1000,6500,6500080003,511055,511055 - Publications & Printed Materials,510,510 - Supplies,Expenditures,2016,100,100,0,269440.59,269361.46,262541.43,265951.445,265951.445,273634.0,281885.0,290631.0,286258.0,286258.0,-4193.4099999999735,-12523.53999999998,-28089.57000000001,-20306.554999999997,-20306.554999999997
72,1000,3600,3600020004,520139,520139 - Motor Pool Charges,520,520 - Other Services and Charges,Expenditures,2016,300,300,300,132398.96,158439.58,211130.69,184785.135,184785.135,127498.0,202469.0,210197.0,206333.0,206333.0,4900.959999999992,-44029.42000000001,933.6900000000024,-21547.865000000005,-21547.865000000005
73,9000,8000,8000140001,520114,520114 - Miscellaneous Support Services,520,520 - Other Services and Charges,Expenditures,2016,2500,3826.74,3270.05,21180.31,51220.48,52848.87,52034.675,52034.675,49877.0,51377.0,52988.0,52182.5,52182.5,-28696.69,-156.51999999999686,-139.12999999999738,-147.82499999999712,-147.82499999999712
74,1000,3400,3400050001,520124,520124 - Other Equipment ServicesS,520,520 - Other Services and Charges,Expenditures,2016,250000,250342.41,227801.98,337716.96,346164.3,395431.07,370797.685,370797.685,537712.0,425947.0,422403.0,424175.0,424175.0,-199995.04,-79782.70000000001,-26971.93,-53377.315,-53377.315
75,1000,3600,3600020005,511045,511045 - Computer Supplies,510,510 - Supplies,Expenditures,2016,9200,15760,40471.34,115712.3,119367.06,123159.48,121263.26999999999,121263.26999999999,116041.0,119592.0,123413.0,121502.5,121502.5,-328.6999999999972,-224.9400000000024,-253.52000000000407,-239.23000000000326,-239.23000000000326
76,1000,1000,1000010023,511015,511015 - Cleaning & Sanitary Supplies,510,510 - Supplies,Expenditures,2016,105,105,0,215167.14,183351.38,173281.99,178316.685,178316.685,189591.0,195356.0,200411.0,197883.5,197883.5,25576.14000000001,-12004.619999999995,-27129.01000000001,-19566.815000000002,-19566.815000000002
77,8300,2000,2000040022,521625,521625 - Voice Labor,520,520 - Other Services and Charges,Expenditures,2016,2100,0,34783.61,79985.96,110933.21,163803.38,137368.295,137368.295,153912.0,120914.0,163899.0,142406.5,142406.5,-73926.04,-9980.789999999994,-95.61999999999534,-5038.2049999999945,-5038.2049999999945
78,8001,2800,2800040023,511055,511055 - Publications & Printed Materials,510,510 - Supplies,Expenditures,2016,2000,1288,1470,41329.48,25319.24,45485.24,35402.24,35402.24,41682.0,42947.0,45179.0,44063.0,44063.0,-352.5199999999968,-17627.76,306.239999999998,-8660.76,-8660.76
79,1000,2100,2100020001,504030,504030 - Unemployment Claims - Administration,500,500 - Personnel Services,Expenditures,2016,0,0,0,278719.4,294007.36,303259.67,298633.515,298633.515,284203.0,292766.0,304119.0,298442.5,298442.5,-5483.599999999977,1241.359999999986,-859.3300000000162,191.01499999998492,191.01499999998492
80,1000,1000,1000010057,503110,503110 - Workers Comp-Classified Claims,500,500 - Personnel Services,Expenditures,2016,177,177,0,1147771.43,1281273.05,1217755.02,1249514.0350000001,1249514.0350000001,1116290.0,1182646.0,1137430.0,1160038.0,1160038.0,31481.42999999993,98627.05000000003,80325.02000000003,89476.03500000003,89476.03500000003
81,1000,7000,7000020001,504030,504030 - Unemployment Claims - Administration,500,500 - Personnel Services,Expenditures,2016,438,0,0,2856518.33,3129813.96,3328766.8,3229290.38,3229290.38,3057098.0,3173145.0,3380680.0,3276912.5,3276912.5,-200579.66999999995,-43331.04000000004,-51913.200000000186,-47622.12000000011,-47622.12000000011
82,1000,6800,6800020001,503010,503010 - Health Insurance - Active Civilian,500,500 - Personnel Services,Expenditures,2016,156587,156587,162028.56,4091075.14,4275821.85,4657396.56,4466609.205,4466609.205,4304677.0,4274919.0,4693813.0,4484366.0,4484366.0,-213601.85999999987,902.8499999996277,-36416.44000000041,-17756.79500000039,-17756.79500000039
83,1000,1000,1000010011,511045,511045 - Computer Supplies,510,510 - Supplies,Expenditures,2016,966,966,1051.88,497741.03,459971.59,532050.83,496011.20999999996,496011.20999999996,508845.0,534836.0,567360.0,551098.0,551098.0,-11103.969999999974,-74864.40999999997,-35309.17000000004,-55086.79000000001,-55086.79000000001
84,1000,3800,3800010002,503060,503060 - Long Term Disability - Civilian,500,500 - Personnel Services,Expenditures,2016,131,131,127.2,1742929.25,1838546.89,2011336.07,1924941.48,1924941.48,1550211.0,1807259.0,1977254.0,1892256.5,1892256.5,192718.25,31287.889999999898,34082.070000000065,32684.97999999998,32684.97999999998
85,8001,2800,2800040003,521510,521510 - Natural Gas,520,520 - Other Services and Charges,Expenditures,2016,62987,36558,24953.12,1592015.43,1573048.27,1694702.23,1633875.25,1633875.25,1540785.0,1595980.0,1676332.0,1636156.0,1636156.0,51230.429999999935,-22931.72999999998,18370.22999999998,-2280.75,-2280.75
